sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-AN-A04C-01	TCGA-AN-A04C-01	7.747	Primary Tumor	TCGA	Breast
TCGA-OL-A5S0-01	TCGA-OL-A5S0-01	7.741	Primary Tumor	TCGA	Breast
TCGA-BH-A0HB-01	TCGA-BH-A0HB-01	7.738	Primary Tumor	TCGA	Breast
TCGA-B6-A0IQ-01	TCGA-B6-A0IQ-01	7.737	Primary Tumor	TCGA	Breast
TCGA-LL-A8F5-01	TCGA-LL-A8F5-01	7.736	Primary Tumor	TCGA	Breast
TCGA-E2-A9RU-01	TCGA-E2-A9RU-01	7.731	Primary Tumor	TCGA	Breast
TCGA-A2-A3XZ-01	TCGA-A2-A3XZ-01	7.723	Primary Tumor	TCGA	Breast
TCGA-LL-A5YL-01	TCGA-LL-A5YL-01	7.721	Primary Tumor	TCGA	Breast
TCGA-D8-A1JB-01	TCGA-D8-A1JB-01	7.72	Primary Tumor	TCGA	Breast
TCGA-BH-A1EW-01	TCGA-BH-A1EW-01	7.719	Primary Tumor	TCGA	Breast
TCGA-B6-A1KN-01	TCGA-B6-A1KN-01	7.718	Primary Tumor	TCGA	Breast
TCGA-E9-A1R5-01	TCGA-E9-A1R5-01	7.716	Primary Tumor	TCGA	Breast
TCGA-AR-A2LH-01	TCGA-AR-A2LH-01	7.711	Primary Tumor	TCGA	Breast
TCGA-AR-A5QN-01	TCGA-AR-A5QN-01	7.71	Primary Tumor	TCGA	Breast
TCGA-B6-A0I5-01	TCGA-B6-A0I5-01	7.71	Primary Tumor	TCGA	Breast
TCGA-GM-A5PV-01	TCGA-GM-A5PV-01	7.707	Primary Tumor	TCGA	Breast
TCGA-AR-A24R-01	TCGA-AR-A24R-01	7.706	Primary Tumor	TCGA	Breast
TCGA-MS-A51U-01	TCGA-MS-A51U-01	7.706	Primary Tumor	TCGA	Breast
TCGA-E2-A1L8-01	TCGA-E2-A1L8-01	7.705	Primary Tumor	TCGA	Breast
TCGA-E2-A570-01	TCGA-E2-A570-01	7.704	Primary Tumor	TCGA	Breast
TCGA-B6-A0I2-01	TCGA-B6-A0I2-01	7.699	Primary Tumor	TCGA	Breast
TCGA-B6-A0WT-01	TCGA-B6-A0WT-01	7.698	Primary Tumor	TCGA	Breast
TCGA-BH-A0E2-01	TCGA-BH-A0E2-01	7.697	Primary Tumor	TCGA	Breast
TCGA-C8-A26Y-01	TCGA-C8-A26Y-01	7.697	Primary Tumor	TCGA	Breast
TCGA-GM-A2DN-01	TCGA-GM-A2DN-01	7.695	Primary Tumor	TCGA	Breast
TCGA-AO-A0J4-01	TCGA-AO-A0J4-01	7.688	Primary Tumor	TCGA	Breast
TCGA-A2-A4RX-01	TCGA-A2-A4RX-01	7.685	Primary Tumor	TCGA	Breast
TCGA-BH-A1FR-01	TCGA-BH-A1FR-01	7.683	Primary Tumor	TCGA	Breast
TCGA-W8-A86G-01	TCGA-W8-A86G-01	7.682	Primary Tumor	TCGA	Breast
