sample	samples	DFNA5 (average)
TCGA-06-0210-01	TCGA-06-0210-01	0.4117
TCGA-06-0939-01	TCGA-06-0939-01	0.4112
TCGA-14-1452-01	TCGA-14-1452-01	0.4109
TCGA-32-2491-01	TCGA-32-2491-01	0.4107
TCGA-08-0347-01	TCGA-08-0347-01	0.4076
TCGA-32-1976-01	TCGA-32-1976-01	0.4075
TCGA-76-6283-01	TCGA-76-6283-01	0.4067
TCGA-06-0877-01	TCGA-06-0877-01	0.4059
TCGA-06-0190-01	TCGA-06-0190-01	0.4008
TCGA-08-0380-01	TCGA-08-0380-01	0.398
TCGA-06-0749-01	TCGA-06-0749-01	0.3965
TCGA-19-5952-01	TCGA-19-5952-01	0.3963
TCGA-02-0006-01	TCGA-02-0006-01	0.3954
TCGA-06-0130-01	TCGA-06-0130-01	0.39395
TCGA-06-0164-01	TCGA-06-0164-01	0.3929
TCGA-08-0355-01	TCGA-08-0355-01	0.3929
TCGA-28-1753-01	TCGA-28-1753-01	0.39219999999999994
TCGA-41-6646-01	TCGA-41-6646-01	0.3911
TCGA-14-1401-01	TCGA-14-1401-01	0.3901
TCGA-06-0645-01	TCGA-06-0645-01	0.389
TCGA-06-0143-01	TCGA-06-0143-01	0.38795
TCGA-28-5213-01	TCGA-28-5213-01	0.3874
TCGA-74-6584-01	TCGA-74-6584-01	0.3874
TCGA-76-4928-01	TCGA-76-4928-01	0.3861
TCGA-02-0034-01	TCGA-02-0034-01	0.386
TCGA-14-0871-01	TCGA-14-0871-01	0.3838
TCGA-02-0079-01	TCGA-02-0079-01	0.3813
TCGA-06-0159-01	TCGA-06-0159-01	0.381
TCGA-06-0201-01	TCGA-06-0201-01	0.3807
TCGA-14-1037-01	TCGA-14-1037-01	0.3806
TCGA-08-0357-01	TCGA-08-0357-01	0.3805
TCGA-08-0356-01	TCGA-08-0356-01	0.3793
TCGA-32-1987-01	TCGA-32-1987-01	0.3792
TCGA-02-0087-01	TCGA-02-0087-01	0.3777
TCGA-12-1088-01	TCGA-12-1088-01	0.37590000000000007
TCGA-02-0070-01	TCGA-02-0070-01	0.3742
TCGA-12-0822-01	TCGA-12-0822-01	0.3742
TCGA-06-0209-01	TCGA-06-0209-01	0.3734
TCGA-02-2485-01	TCGA-02-2485-01	0.3717
TCGA-06-0125-02	TCGA-06-0125-02	0.37159999999999993
TCGA-14-0789-01	TCGA-14-0789-01	0.3685
TCGA-06-0176-01	TCGA-06-0176-01	0.3684
TCGA-02-0027-01	TCGA-02-0027-01	0.3669
TCGA-16-0846-01	TCGA-16-0846-01	0.3667
TCGA-19-0957-02	TCGA-19-0957-02	0.3648
TCGA-16-1045-01	TCGA-16-1045-01	0.363
TCGA-28-1752-01	TCGA-28-1752-01	0.3619
TCGA-32-1982-01	TCGA-32-1982-01	0.36030000000000006
TCGA-28-2502-01	TCGA-28-2502-01	0.3593
TCGA-RR-A6KA-01	TCGA-RR-A6KA-01	0.3588
TCGA-16-0850-01	TCGA-16-0850-01	0.3585
TCGA-12-0776-01	TCGA-12-0776-01	0.3554
TCGA-4W-AA9T-01	TCGA-4W-AA9T-01	0.3547
TCGA-32-1977-01	TCGA-32-1977-01	0.3543
TCGA-19-5953-01	TCGA-19-5953-01	0.3534
TCGA-06-0169-01	TCGA-06-0169-01	0.35280000000000006
TCGA-02-2470-01	TCGA-02-2470-01	0.3511
TCGA-06-0140-01	TCGA-06-0140-01	0.3508
TCGA-08-0345-01	TCGA-08-0345-01	0.3483
TCGA-06-0152-01	TCGA-06-0152-01	0.34780000000000005
TCGA-76-6660-01	TCGA-76-6660-01	0.3466
TCGA-02-0059-01	TCGA-02-0059-01	0.3465
TCGA-06-0882-01	TCGA-06-0882-01	0.3463
TCGA-02-0113-01	TCGA-02-0113-01	0.3446
TCGA-02-0325-01	TCGA-02-0325-01	0.3421
TCGA-12-1092-01	TCGA-12-1092-01	0.3417
TCGA-06-0211-02	TCGA-06-0211-02	0.3409
TCGA-76-6663-01	TCGA-76-6663-01	0.337
TCGA-32-5222-01	TCGA-32-5222-01	0.3362
TCGA-26-6173-01	TCGA-26-6173-01	0.3345
TCGA-14-1794-01	TCGA-14-1794-01	0.3343
TCGA-06-0876-01	TCGA-06-0876-01	0.3326
TCGA-08-0509-01	TCGA-08-0509-01	0.332
TCGA-06-1084-01	TCGA-06-1084-01	0.3312
TCGA-02-0111-01	TCGA-02-0111-01	0.331
TCGA-08-0392-01	TCGA-08-0392-01	0.3303
TCGA-06-0194-01	TCGA-06-0194-01	0.32969999999999994
TCGA-02-0337-01	TCGA-02-0337-01	0.3273
TCGA-14-1825-01	TCGA-14-1825-01	0.3263
TCGA-14-1043-01	TCGA-14-1043-01	0.3223
TCGA-02-0285-01	TCGA-02-0285-01	0.3206
