sample	samples	DFNA5	_sample_type	_study	_primary_site
TCGA-24-2288-01	TCGA-24-2288-01	8.157	Primary Tumor	TCGA	Ovary
TCGA-36-1575-01	TCGA-36-1575-01	8.155	Primary Tumor	TCGA	Ovary
TCGA-29-1705-01	TCGA-29-1705-01	8.153	Primary Tumor	TCGA	Ovary
TCGA-57-1585-01	TCGA-57-1585-01	8.152	Primary Tumor	TCGA	Ovary
TCGA-24-0968-01	TCGA-24-0968-01	8.151	Primary Tumor	TCGA	Ovary
TCGA-29-1781-01	TCGA-29-1781-01	8.151	Primary Tumor	TCGA	Ovary
TCGA-13-0916-01	TCGA-13-0916-01	8.149	Primary Tumor	TCGA	Ovary
TCGA-23-1109-01	TCGA-23-1109-01	8.147	Primary Tumor	TCGA	Ovary
TCGA-24-2289-01	TCGA-24-2289-01	8.147	Primary Tumor	TCGA	Ovary
TCGA-29-1691-01	TCGA-29-1691-01	8.137	Primary Tumor	TCGA	Ovary
TCGA-24-1842-01	TCGA-24-1842-01	8.135	Primary Tumor	TCGA	Ovary
TCGA-13-0760-01	TCGA-13-0760-01	8.132	Primary Tumor	TCGA	Ovary
TCGA-24-1425-01	TCGA-24-1425-01	8.125	Primary Tumor	TCGA	Ovary
TCGA-24-1924-01	TCGA-24-1924-01	8.124	Primary Tumor	TCGA	Ovary
TCGA-13-0725-01	TCGA-13-0725-01	8.121	Primary Tumor	TCGA	Ovary
TCGA-13-1408-01	TCGA-13-1408-01	8.116	Primary Tumor	TCGA	Ovary
TCGA-24-1603-01	TCGA-24-1603-01	8.113	Primary Tumor	TCGA	Ovary
TCGA-25-1322-01	TCGA-25-1322-01	8.113	Primary Tumor	TCGA	Ovary
TCGA-13-0899-01	TCGA-13-0899-01	8.11	Primary Tumor	TCGA	Ovary
TCGA-09-1659-01	TCGA-09-1659-01	8.106	Primary Tumor	TCGA	Ovary
TCGA-31-1944-01	TCGA-31-1944-01	8.104	Primary Tumor	TCGA	Ovary
TCGA-61-1917-01	TCGA-61-1917-01	8.103	Primary Tumor	TCGA	Ovary
TCGA-20-1685-01	TCGA-20-1685-01	8.102	Primary Tumor	TCGA	Ovary
TCGA-24-1427-01	TCGA-24-1427-01	8.097	Primary Tumor	TCGA	Ovary
TCGA-04-1362-01	TCGA-04-1362-01	8.086	Primary Tumor	TCGA	Ovary
TCGA-59-A5PD-01	TCGA-59-A5PD-01	8.08	Primary Tumor	TCGA	Ovary
TCGA-09-1662-01	TCGA-09-1662-01	8.075	Primary Tumor	TCGA	Ovary
TCGA-09-2051-01	TCGA-09-2051-01	8.074	Primary Tumor	TCGA	Ovary
TCGA-20-1683-01	TCGA-20-1683-01	8.071	Primary Tumor	TCGA	Ovary
TCGA-24-1560-01	TCGA-24-1560-01	8.071	Primary Tumor	TCGA	Ovary
